id,name,genre_ids,popularity,vote_average
79744,The Rookie,"Crime, Drama, Comedy",401.837,8.532
94722,Tagesschau,N/A,393.1312,6.8
111110,ONE PIECE,"N/A, N/A",399.2659,8.1
1416,Grey's Anatomy,Drama,320.1929,8.2
22980,Watch What Happens Live with Andy Cohen,"N/A, Comedy",309.8606,5.012
1622,Supernatural,"Drama, Mystery, N/A",325.6884,8.305
1911,Bones,"Crime, Drama",347.3558,8.196
33847,The Talk,N/A,271.0224,3.036
1434,Family Guy,"Animation, Comedy",266.7337,7.392
2734,Law & Order: Special Victims Unit,"Crime, Drama, Mystery",281.2988,7.9
456,The Simpsons,"Family, Animation, Comedy",251.4552,8.011
4614,NCIS,"Crime, Drama, N/A",256.4099,7.621
2224,The Daily Show,"N/A, Comedy",247.7935,6.409
70672,Men on a Mission,"N/A, Comedy",240.188,7.512
49009,The Goldbergs,"Family, Comedy",218.1898,7.472
5920,The Mentalist,"Crime, Drama, Mystery",232.4787,8.4
2661,Kamen Rider,"N/A, N/A, Drama",210.7896,6.406
14424,Young Hearts,"N/A, Comedy, Drama",219.4669,6.2
2261,The Tonight Show Starring Johnny Carson,N/A,209.8189,7.4
95479,JUJUTSU KAISEN,"Animation, N/A, N/A",198.3865,8.556
