Se guardaron 20 elementos en data/raw/popular_movies.json
Se guardaron 19 elementos en data/raw/movie_genres.json
Se guardaron 20 elementos en data/raw/popular_series.json
Se guardaron 16 elementos en data/raw/tv_genres.json
2026-02-23 09:50:42.522276-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 09:50:47.139856-Se guardaron 19 elementos en data/raw/movie_genres.json
2026-02-23 09:50:48.681898-Se guardaron 20 elementos en data/raw/popular_series.json
2026-02-23 09:50:50.273602-Se guardaron 16 elementos en data/raw/tv_genres.json
2026-02-23 11:02:11.196595-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:02:11.203308-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:02:11.209074-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:02:11.215966-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:02:11.221968-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:02:11.227756-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:02:14.899322-Se guardaron 19 elementos en data/raw/movie_genres.json
2026-02-23 11:02:15.533487-Se guardaron 20 elementos en data/raw/popular_series.json
2026-02-23 11:02:16.159466-Se guardaron 16 elementos en data/raw/tv_genres.json
2026-02-23 11:14:25.661324-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:14:26.352566-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:14:27.034402-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:14:27.732789-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:14:28.420641-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:14:29.111418-Se guardaron 19 elementos en data/raw/movie_genres.json
2026-02-23 11:14:29.835954-Se guardaron 20 elementos en data/raw/popular_series.json
2026-02-23 11:14:30.523833-Se guardaron 16 elementos en data/raw/tv_genres.json
2026-02-23 11:15:19.705266-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:15:20.436298-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:15:21.219967-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:15:22.037984-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:15:25.819578-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:15:29.584247-Se guardaron 19 elementos en data/raw/movie_genres.json
2026-02-23 11:15:30.262156-Se guardaron 20 elementos en data/raw/popular_series.json
2026-02-23 11:15:30.947971-Se guardaron 16 elementos en data/raw/tv_genres.json
2026-02-23 11:21:39.397629-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:21:40.093544-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:21:40.795230-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:21:41.487314-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:21:42.174944-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:21:45.907711-Se guardaron 20 elementos en data/raw/popular_movies.json
2026-02-23 11:21:49.670208-Se guardaron 19 elementos en data/raw/movie_genres.json
2026-02-23 11:21:50.361149-Se guardaron 20 elementos en data/raw/popular_series.json
2026-02-23 11:21:51.047171-Se guardaron 16 elementos en data/raw/tv_genres.json
